App_ID,Game_Name,Release_Date,Price,Positive,Negative,Min_Owners,Max_Owners,HLTB_Single
570,Dota 2,2013-07-09,0,1832477,406030,200000000,500000000,0
2870,X Rebirth,2013-11-15,29.99,3143,4114,500000,1000000,15
7800,Stubbs the Zombie in Rebel Without a Pulse,2021-03-16,19.99,1704,250,200000,500000,6
8870,BioShock Infinite,2013-03-25,29.99,127955,8395,5000000,10000000,11
8980,Borderlands Game of the Year,2023-08-31,29.99,28305,2918,1000000,2000000,23
9940,Blade Kitten,2014-05-22,2.99,868,177,100000,200000,5
10270,Disciples III Reincarnation,2014-02-14,9.99,1175,456,100000,200000,100
11480,Soldiers Heroes of World War II,2014-07-03,4.99,593,105,100000,200000,30
11550,Second Sight,2021-04-08,9.99,170,39,20000,50000,9
12210,Grand Theft Auto IV The Complete Edition,2020-03-24,5.99,125600,28522,5000000,10000000,37
16900,GROUND BRANCH,2018-08-14,29.99,16593,1844,500000,1000000,0
24880,The Saboteur,2024-03-07,9.99,980,89,50000,100000,0
25000,Overgrowth,2017-10-16,19.99,6354,1609,500000,1000000,3
34870,Sniper Ghost Warrior 2,2013-03-11,9.99,13057,4285,1000000,2000000,5
35720,Trine 2 Complete Story,2013-06-06,19.99,20328,956,2000000,5000000,9
38400,Fallout A Post Nuclear Role Playing Game,2015-11-01,9.99,18281,1177,2000000,5000000,16
39140,FINAL FANTASY VII,2013-07-04,11.99,23923,1814,1000000,2000000,38
39150,FINAL FANTASY VIII,2013-12-05,11.99,7740,1007,500000,1000000,42
39210,FINAL FANTASY XIV Online,2014-02-18,19.99,65098,8615,2000000,5000000,0
39520,The Guild Gold Edition,2014-09-09,9.99,369,132,100000,200000,67
40950,Stronghold HD 2012,2013-10-21,1.79,8806,415,1000000,2000000,20
40970,Stronghold Crusader HD,2013-10-21,2.99,17350,433,500000,1000000,12
40980,Stronghold Legends Steam Edition,2016-09-15,14.99,1892,289,200000,500000,12
41050,Serious Sam Classic The First Encounter,2019-08-30,5.99,2776,117,0,20000,6
41060,Serious Sam Classic The Second Encounter,2019-08-30,5.99,1644,67,0,20000,7
45200,Defense of the Oasis,2020-08-25,4.99,45,4,200000,500000,0
45420,Land It,2016-08-01,9.99,9,1,0,20000,10
45760,Ultra Street Fighter IV,2014-08-07,29.99,13016,1498,500000,1000000,3
65070,Ride em Low,2013-11-04,2.99,69,60,20000,50000,0
65930,The Bureau XCOM Declassified,2013-08-19,19.99,8104,3442,2000000,5000000,10
65980,Sid Meiers Civilization Beyond Earth,2014-10-23,39.99,13146,8866,1000000,2000000,14
94400,Nidhogg,2014-01-13,9.99,6751,777,500000,1000000,1
95400,ibb  obb,2014-05-26,2.39,5738,597,500000,1000000,6
96100,Defy Gravity Extended,2016-03-18,1.99,7391,1192,1000000,2000000,2
96900,Slam Bolt Scrappers,2013-03-14,4.99,24,23,20000,50000,1
104900,ORION Prelude,2013-04-16,0.99,21552,7071,2000000,5000000,3
105420,Ms Splosion Man,2013-04-03,9.99,228,61,50000,100000,8
107410,Arma 3,2013-09-12,29.99,239517,25142,5000000,10000000,20
108600,Project Zomboid,2013-11-08,19.99,276647,17170,10000000,20000000,22
109600,Neverwinter,2013-12-05,0,29145,8435,5000000,10000000,52
111900,Guardians of Middleearth,2013-08-29,0,336,1069,200000,500000,0
113020,Monaco Whats Yours Is Mine,2013-04-24,3.74,7704,798,2000000,5000000,8
115800,Owlboy,2016-11-01,19.99,4759,903,200000,500000,8
116100,Super Toy Cars,2014-06-06,9.99,226,160,50000,100000,2
200150,Battle Chess Game of Kings,2015-12-11,29.99,180,165,50000,100000,1
201210,Pox Nora,2014-10-15,0,594,197,200000,500000,0
201420,Toki Tori 2,2013-07-11,1.49,843,146,200000,500000,9
201810,Wolfenstein The New Order,2014-05-19,19.99,47831,4572,2000000,5000000,11
202130,Impire,2013-02-14,4.99,197,241,100000,200000,21
203160,Tomb Raider,2013-03-04,14.99,223781,9004,5000000,10000000,11
